"","distance","s1","s2","s3","s4","s5"
"DMU147",0.410815192308012,0.262182857143,0.82267,0.5,0.4,0.39132
"DMU148",0.0859754201681398,0.283602857143,0.06189,0,0,0.23914
"DMU149",0.0939901260504974,0.111182857142999,0.44145,-0.1309,0,0.2174
"DMU150",0.1882205714286,0.121902857143,0.08252,0.1845,0.4,0.15218
"DMU151",0.2685685714286,0.121902857143,0.34702,0,0.7,0.17392
"DMU152",0.2544765714286,0.121902857143,0.25482,0,0.7,0.19566
"DMU153",0.2944385714286,0.204142857142999,0.14441,0.1845,0.7,0.23914
"DMU154",0.2742745714286,0.132622857143,0.277870000000001,0,0.700000000000001,0.26088
"DMU155",0.156298949579947,0.121902857143,0.51729,0.1845,0,0.23914
"DMU156",0.10375042016815,0.204142857143,0.393119999999999,-0.1309,0,0.23914
"DMU157",0.2651008571428,0.0289142857140001,0.14441,0,1,0.15218
"DMU158",0.319816346154103,0.111182857143,0.54257,0.5,0.4,0.30436
"DMU159",0.3524185714286,0.262182857143,0.51729,0,0.7,0.28262
"DMU160",0.239184038461709,0.100462857143,0.85401,0.5,0,0.30436
"DMU161",0.1885805714286,0.240762857143,0.04126,0,0.4,0.26088
"DMU162",0.370829423077233,0.089742857142999,0.854009999999998,0,0.700000000000001,0.282619999999999
"DMU163",0.110010714285801,0.0683028571429997,0.27787,0.1845,0,0.2174
"DMU164",0.219701890756455,0.219342857143,0.49201,0.500000000000001,0,0.28262
"DMU165",0.1981025714286,0.0790228571429997,0.51729,-0.2232,0.4,0.2174
"DMU166",0.167294537815247,0.121902857143,0.25482,0.5,0,0.26088
"DMU167",0.310814038461786,0.089742857143,0.88535,0.1845,0.4,0.28262
"DMU168",0.0774712184873994,0.028914285714,0.32397,0,0,0.17392
"DMU169",0.1207485714286,0.158542857143,0.16504,-0.3155,0.4,0.19566
"DMU170",0.1834085714286,0.219342857143,0.12378,0,0.4,0.17392
"DMU171",0.21339600840351,0.219342857143,0.76463,0.1845,0,0.28262
"DMU172",0.0604724789916539,0.219342857143,0.06189,-0.1309,0,0.26088
"DMU173",0.130637184874049,0.143342857143,0.27787,0.1845,0,0.28262
"DMU174",0.12282688524591,0.121902857143,0.08252,0.5,0,0.15218
"DMU175",0.145146008403469,0.121902857143,0.44145,0.1845,0,0.23914
"DMU176",0.1892625714286,0.0897428571430001,0.37007,-0.1309,0.4,0.2174
"DMU177",0.0527239495798845,0.143342857143,0.04126,0,0,0.17392
"DMU178",0.110848852459028,0.0468628571429997,0.0618899999999999,0.5,0,0.19566
"DMU179",0.132551890756403,0.173742857143,0.46673,0,0,0.26088
"DMU180",0.226831730769429,-0.00722857142842914,0.65057,0,0.4,0.2174
"DMU181",0.135604831932875,0.100462857143,0.51729,0,0,0.30436
"DMU182",0.180219537815255,0.219342857143,0.51729,0.184499999999999,0,0.30436
"DMU183",0.179034243697607,0.240762857143,0.65057,0,0,0.3261
"DMU184",0.190307773109379,0.111182857143,0.650570000000001,0.1845,0,0.34784
"DMU185",0.2096385714286,0.158542857143,0.10315,-0.1309,0.7,0.2174
"DMU186",0.325406346154106,0.100462857143,0.88535,0.1845,0.4,0.3261
"DMU187",0.143484230769352,0.111182857143,0.25482,0.5,0,0.15218
"DMU188",0.253840576923265,0.143342857143,0.76463,0.5,0,0.34784
"DMU189",0.396822571428599,0.219342857142998,0.569569999999998,-0.1309,0.999999999999998,0.326099999999999
"DMU190",0.4233825714286,0.305022857143,0.91669,-0.1309,0.7,0.3261
"DMU191",0.115425420168158,0.188942857143,0.65057,-0.3155,0,0.26088
"DMU192",0.0630445378151849,0.0897428571429998,0.16504,0,0,0.17392
"DMU193",0.2590605714286,0.132622857143,0.0825200000000001,0.1845,0.7,0.19566
"DMU194",0.273543067227076,0.262182857143,0.70659,0.5,0,0.39132
"DMU195",0.122787184874044,0.132622857143,0.441450000000001,0,0,0.26088
"DMU196",0.2384665714286,0.121902857143,0.44145,-0.2232,0.7,0.15218
"DMU197",0.2337965714286,0.219342857143,0.08252,0.1845,0.4,0.28262
"DMU198",0.2755645714286,0.132622857143,0.16504,0.1845,0.7,0.19566
"DMU199",0.2132885714286,0.143342857143,0.393120000000001,-0.1309,0.4,0.26088
"DMU200",0.3555765714286,0.262182857143,0.25482,0,0.999999999999999,0.26088
