"","min_max_s","s1","s2","s3","s4","s5"
"DMU188",0.428421249999566,0.2084,0.428421249999565,0.428421249999566,0,0.428421249999565
"DMU189",0.443537619047583,0.2844,0.443537619047583,0.3691,0.443537619047583,0.443537619047583
"DMU190",0.459244285714333,0.37008,0.459244285714333,0.3691,0.459244285714333,0.459244285714334
"DMU191",0.20013095238076,0.20013095238076,0.20013095238076,0.1845,0,0.20013095238076
"DMU192",0.107175714285655,0.107175714285655,0.107175714285655,0.107175714285655,0,0.107175714285655
"DMU193",0.331490952380917,0.19768,0.10315,0.331490952380917,0.331490952380917,0.331490952380917
"DMU194",0.510950952380628,0.32724,0.510950952380628,0.510950952380628,0,0.510950952380628
"DMU195",0.212424285714083,0.19768,0.212424285714083,0.212424285714083,0,0.212424285714083
"DMU196",0.251343214285719,0.18696,0.251343214285719,0.251343214285719,0.251343214285719,0.251343214285719
"DMU197",0.266458214285688,0.266458214285688,0.10315,0.266458214285688,0.266458214285688,0.266458214285688
"DMU198",0.331490952380917,0.19768,0.18567,0.331490952380917,0.331490952380917,0.331490952380917
"DMU199",0.214510714285688,0.2084,0.214510714285688,0.214510714285688,0.214510714285688,0.214510714285688
"DMU200",0.391730952381,0.32724,0.27545,0.391730952381,0.391730952381,0.391730952381
