"","d*","w1","w2","w3","w4","w5"
"DMU149",0.0939901260504228,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU150",0.188220571428575,0.2,0.2,0.2,0.2,0.2
"DMU151",0.268568571428575,0.2,0.2,0.2,0.2,0.2
"DMU152",0.254476571428575,0.2,0.2,0.2,0.2,0.2
"DMU153",0.29443857142855,0.2,0.2,0.2,0.2,0.2
"DMU154",0.27427457142855,0.2,0.2,0.2,0.2,0.2
"DMU155",0.156298949579835,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU156",0.103750420168052,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU157",0.265100857142856,0.2,0.2,0.2,0.2,0.2
"DMU158",0.319816346153851,0.269230769230769,0.0961538461538462,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU159",0.3524185714286,0.2,0.2,0.2,0.2,0.2
"DMU160",0.239184038461543,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU161",0.18858057142855,0.2,0.2,0.2,0.2,0.2
"DMU162",0.370829423076928,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU163",0.110010714285717,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU164",0.219701890756287,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU165",0.198102571428575,0.2,0.2,0.2,0.2,0.2
"DMU166",0.167294537815129,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU167",0.310814038461543,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU168",0.0774712184873943,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU169",0.12074857142855,0.2,0.2,0.2,0.2,0.2
"DMU170",0.18340857142855,0.2,0.2,0.2,0.2,0.2
"DMU171",0.213396008403346,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU172",0.0604724789915808,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU173",0.130637184873934,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU174",0.122826885245906,0.229508196721311,0.229508196721311,0.0819672131147541,0.229508196721312,0.229508196721311
"DMU175",0.145146008403364,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU176",0.189262571428575,0.2,0.2,0.2,0.2,0.2
"DMU177",0.0527239495798162,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU178",0.11084885245902,0.229508196721311,0.229508196721311,0.0819672131147541,0.229508196721312,0.229508196721311
"DMU179",0.132551890756287,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU180",0.226831730769231,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU181",0.135604831932776,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU182",0.18021953781511,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU183",0.179034243697463,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU184",0.190307773109246,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU185",0.20963857142855,0.2,0.2,0.2,0.2,0.2
"DMU186",0.325406346153851,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU187",0.143484230769236,0.269230769230769,0.0961538461538461,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU188",0.253840576923048,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU189",0.39682257142855,0.2,0.2,0.2,0.2,0.2
"DMU190",0.4233825714286,0.2,0.2,0.2,0.2,0.2
"DMU191",0.115425420168051,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU192",0.0630445378151287,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU193",0.25906057142855,0.2,0.2,0.2,0.2,0.2
"DMU194",0.273543067226912,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU195",0.122787184873934,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU196",0.238466571428575,0.2,0.2,0.2,0.2,0.2
"DMU197",0.23379657142855,0.2,0.2,0.2,0.2,0.2
"DMU198",0.27556457142855,0.2,0.2,0.2,0.2,0.2
"DMU199",0.21328857142855,0.2,0.2,0.2,0.2,0.2
"DMU200",0.3555765714286,0.2,0.2,0.2,0.2,0.2
